이름,WAR.,G,타석,타수,득점,안타,X2타,X3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC.,WPA,target
문규현,0.27,120,368,316,38,86,10,0,4,108,40,2,3,29,1,0,39,10,19,2,0.272,0.333,0.342,0.675,0.301,62.9,-0.92,12000
박헌도,0.36,37,82,69,9,18,7,0,3,34,11,1,0,10,3,0,25,1,0,0,0.261,0.378,0.493,0.871,0.39,118.6,0.11,5600
손아섭,5.3,144,672,575,118,186,33,1,16,269,81,42,4,92,3,1,104,4,0,2,0.323,0.418,0.468,0.886,0.406,131,6.03,65000
신본기,0.82,25,104,81,13,25,4,0,1,32,10,0,1,13,8,0,12,3,2,0,0.309,0.451,0.395,0.846,0.402,128.1,0.52,5500
아두치,1.41,64,272,247,46,72,18,3,7,117,41,15,2,18,1,1,59,5,1,5,0.292,0.336,0.474,0.81,0.354,97.1,0.53,78000
오현근,0.02,19,17,15,4,3,0,0,0,3,2,2,0,2,0,0,5,0,0,0,0.2,0.294,0.2,0.494,0.254,33.9,0,3000
이여상,-0.1,61,83,72,10,18,3,1,0,23,7,2,2,7,0,0,25,0,3,1,0.25,0.313,0.319,0.632,0.287,55.6,0.09,4000
전준우,0.19,25,113,99,16,25,7,0,2,38,10,3,3,7,6,0,25,4,1,0,0.253,0.339,0.384,0.723,0.333,83,0.1,20500
정훈,0.73,121,439,370,48,97,18,2,2,125,46,7,7,43,16,0,75,12,8,2,0.262,0.362,0.338,0.7,0.331,82.5,1.07,15000
최준석,0.7,116,396,325,49,85,10,0,19,152,70,0,0,64,3,2,102,14,0,4,0.262,0.384,0.468,0.852,0.381,113.9,1.26,40000
황재균,5.55,127,559,498,97,167,26,5,27,284,113,25,10,49,4,5,66,10,0,8,0.335,0.394,0.57,0.964,0.417,137.3,4.03,50000
강경학,0.11,120,376,311,50,80,7,4,2,101,27,4,3,40,5,1,58,3,18,3,0.257,0.348,0.325,0.673,0.304,66.4,-0.32,6500
김경언,2.76,107,437,377,58,127,21,1,16,198,78,1,3,50,2,3,89,9,5,3,0.337,0.414,0.525,0.94,0.411,136.4,4.94,20000
김태균,4.17,133,524,408,61,129,28,0,21,220,104,3,1,98,12,12,80,19,1,5,0.316,0.457,0.539,0.996,0.436,153.7,5.83,160000
김회성,0.79,83,268,225,36,47,10,2,16,109,35,2,4,28,10,0,58,4,3,2,0.209,0.321,0.484,0.805,0.345,93.5,-0.11,5500
모건,0.21,10,42,33,2,9,2,0,0,11,5,1,1,4,4,0,8,1,0,1,0.273,0.405,0.333,0.738,0.359,102.4,0.15,55000
박노민,0.03,23,26,24,1,8,0,0,0,8,4,0,0,2,0,0,11,0,0,0,0.333,0.385,0.333,0.718,0.344,91.6,-0.29,4000
송광민,-0.02,12,41,37,2,9,2,0,0,11,1,0,0,2,1,0,11,1,1,0,0.243,0.3,0.297,0.597,0.276,48,-0.25,10000
이성열,0.67,97,254,219,34,55,10,2,9,96,35,1,1,19,9,1,83,5,5,2,0.251,0.333,0.438,0.772,0.336,87,1.17,25000
이시찬,0,34,72,64,7,18,1,0,0,19,6,1,1,4,1,0,12,3,1,2,0.281,0.324,0.297,0.621,0.29,56.7,-0.39,5100
이용규,4.96,124,585,493,94,168,15,7,4,209,42,28,10,68,9,5,45,4,11,4,0.341,0.427,0.424,0.851,0.386,119.6,2.61,70000
이종환,0.04,31,88,84,13,26,3,0,0,29,12,0,0,4,0,0,15,0,0,0,0.31,0.341,0.345,0.686,0.321,77.2,-0.01,6200
정근우,4.91,126,552,468,99,148,30,2,12,218,66,21,6,61,8,1,66,14,13,2,0.316,0.403,0.466,0.868,0.384,119.2,4.05,70000
정현석,0.6,43,133,116,20,36,6,0,1,45,12,0,0,13,2,1,24,3,2,0,0.31,0.389,0.388,0.777,0.356,100.7,-0.12,9500
조인성,0.05,106,310,276,33,64,11,0,11,108,44,0,0,16,6,0,89,5,11,1,0.232,0.288,0.391,0.679,0.293,58.8,0.36,40000
최진행,2.38,109,410,333,55,97,17,0,18,168,64,0,3,65,4,6,101,9,5,3,0.291,0.41,0.505,0.914,0.397,128.2,2.06,18500
폭스,0.16,38,121,108,16,30,4,0,7,55,25,0,0,8,3,1,27,9,0,2,0.278,0.339,0.509,0.848,0.364,105.8,-0.14,8500
권용관,0.06,40,49,44,7,11,2,1,0,15,3,0,0,2,2,0,12,2,1,0,0.25,0.313,0.341,0.653,0.3,61.3,-0.68,8000
